object_id,leak_id,parser,file_name,filepath,date_parsed,file_size,file_line_count,parsed_identities,already_read_lines,status,file_type,detected_fields,leak_source
649c0c8aa3e1176796c335ed,05cffe734eac280d75b2165d46a443e6a270a4b13e5bb1a19d326da9641582a8,xing1-2.0.1,www.macquarie.org {189.604} [NOHASH].txt,collection1/Collection  #1_NEW combo semi private_Dumps/www.macquarie.org {189.604} [NOHASH].txt,1687948758,5649318,189603,189550,189603,finished,unknown,"['username', 'cc', 'password', 'email']",Collection#1
649c0ec568eea91ac1ec6a08,1e6f9241e891c52ddb9631f8ccc302cd02693840a27df1b92f0daec17b6fb5da,xing2-2.0.1,ww.gamesforum24.de.txt,collection1/Collection  #1_OLD CLOUD_Dump cleaned - deleted duplicated and trash/ww.gamesforum24.de.txt,1687949907,16402676,484718,484251,484718,finished,unknown,"['username', 'email', 'unknown', 'hash-md5', 'cc', 'password']",Collection#1
649d18e117fbc0a8efa7ada8,28e4c2ca35cb17957b64ceb992859cb699f7463629bc6bfd07155d3894936513,xeno7-2.0.1,mail8 {02.10.17}.txt,collection1/Collection  #1_NEW combo semi private_EU combo/mail8 {02.10.17}.txt,1688024248,235787948,7750092,7729943,7750092,finished,unknown,"['email', 'username', 'unknown', 'password', 'ip', 'cc']",Collection#1
649c0d38a3e1176796e8e387,340c10aa054e57020f13a576fd43da8f62ed370b850296adbea741a2d5a8e0f4,xing1-2.0.1,formmail.fr {.233.102} [NOHASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/formmail.fr {.233.102} [NOHASH].txt,1687948959,7425004,233102,233034,233102,finished,unknown,"['username', 'email', 'cc', 'password']",Collection#1
649c16d8c0b597f7f62faaff,4009e00a021210f095fe64f8970301a69aa017149f33bdbdf634bec9d54e58ae,xing5-2.0.1,Расшифровка RSBoards.com [127k].txt,collection1/Collection  #1_Games combos_Dumps/Расшифровка RSBoards.com [127k].txt,1687952926,4144474,127733,127730,127733,finished,unknown,"['email', 'password', 'username']",Collection#1
649c07dff51cc3e6f4c0af81,459d208c5e362e04a6bebafd4e23bad4a9e8563f3700dccfc297870f63d397ce,xeno7-2.0.1,5.txt,collection1/Collection  #1_NEW combo semi private_EU combo/5.txt,1688052413,1182358320,35487202,35503939,35487202,finished,unknown,"['unknown', 'cc', 'password', 'username', 'email']",Collection#1
649c41598daf2c5b4564f4ed,51cb90e74d28b4133a77097092d43af69f7c567c7c4cdde4d41a017b5ed8fed0,xing4-2.0.1,Расшифровка PPCGeeks.com (Forum) [297k].txt,collection1/Collection  #1_OLD CLOUD_OLD DUMPS DEHASHED/Расшифровка PPCGeeks.com (Forum) [297k].txt,1687962377,9138481,297770,297762,297770,finished,unknown,"['username', 'password', 'email', 'unknown']",Collection#1
649c0c5291d097f76a89dbe5,56db8dc0dbb3621c43492b87c6e17124371df8e169a23fe93447eedeaaf86c4d,xing4-2.0.1,mail5 {02.10.17}.txt,collection1/Collection  #1_NEW combo semi private_EU combo/mail5 {02.10.17}.txt,1687959107,294991139,9837562,9837005,9837562,finished,unknown,"['cc', 'password', 'email', 'username', 'unknown']",Collection#1
649c0c8da3e1176796c339be,5ba06bc40c6fb7dd4941884a2a3b37f70ff48cb8b04e3c3f34662811101850a4,xing1-2.0.1,profitech.hu {151.158} [HASH] [NOHASH] (People and Society).txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/profitech.hu {151.158} [HASH] [NOHASH] (People and Society).txt,1687948717,7867862,151158,151133,151158,finished,unknown,"['hash-sha1', 'password', 'username', 'hash-mysql', 'cc', 'hash-md5', 'email']",Collection#1
649c128168eea91ac1dfdca6,7e0b1b323efd47bb311ff8bb4cb86e0389786f3c4cc03445a896a27f0ac045ce,xing2-2.0.1,1 (4).txt,collection1/Collection  #1_NEW combo semi private_Private combos/1 (4).txt,1687961843,318464740,9038059,9035365,9038059,finished,unknown,"['email', 'password', 'username', 'cc']",Collection#1
