object_id,leak_id,parser,file_name,filepath,date_parsed,file_size,file_line_count,parsed_identities,already_read_lines,status,file_type,detected_fields,leak_source
649c5e6868eea91ac1b5f8a2,013ab0e9a1cda718743a8dae4c994642079a0dd9c6b754ac8bcc24df1bdef4d6,xing2-2.0.1,1880.txt,collection1/Collection  #1_EU combos/1880.txt,1687969539,3298001,100000,99999,100000,finished,unknown,"['email', 'password', 'username']",Collection#1
649c21e6bc85f5956b3e6e2f,015c0e490af8b60fd5cbe93649c22ea1dcaebc8973abd5f80cc22c394c346f60,xeno7-2.0.1,mail.agency-i2b.ru {9.788} [NOHASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/mail.agency-i2b.ru {9.788} [NOHASH].txt,1687953906,305926,9788,9786,9788,finished,unknown,"['email', 'username', 'password']",Collection#1
649c4daf8daf2c5b4547fc7c,0002303d76310da0f61080269b2b2afaf554ef94173377fb51406566eb54fbdf,xing4-2.0.1,1320.txt,collection1/Collection  #1_Games combos_Sharpening/1320.txt,1687965265,3380165,100000,99285,100000,finished,unknown,"['hash-md5', 'username', 'password', 'email']",Collection#1
649c4aff8daf2c5b457cffc1,0095dd440f22c44e4f69f6a4117468e052436126e4c67e00ccf9f732a86d053b,xing4-2.0.1,151.txt,collection1/Collection  #1_OLD CLOUD_UK combos/151.txt,1687964596,3433177,100000,99995,100000,finished,unknown,"['email', 'username', 'password']",Collection#1
649c623c68eea91ac1ecf233,020e7d2423ee122be0b689d1d4105f181efbfed7e4075a5832148845623d9208,xing2-2.0.1,1208.txt,collection1/Collection  #1_Games combos_Sharpening/1208.txt,1687970528,3286020,100000,99994,100000,finished,unknown,"['username', 'email', 'unknown', 'password']",Collection#1
649c6ab168eea91ac1edcf31,02e5a6819171061001f29b5469a4042a0a467a7761691d0b6268660a6c86c9c3,xing2-2.0.1,77.txt,collection1/Collection  #1_OLD CLOUD_BTC combos/77.txt,1687972733,3253918,100000,98904,100000,finished,unknown,"['email', 'username', 'cc', 'password', 'unknown']",Collection#1
649c66e568eea91ac18dc23a,040aebc6befe86d71f11595b0f50b0a275b316170b5d84a7a6d58b1b1eef25b8,xing2-2.0.1,449.txt,collection1/Collection  #1_Games combos_Sharpening/449.txt,1687971677,3273316,100000,99999,100000,finished,unknown,"['email', 'username', 'password']",Collection#1
649c87d080bfe06f0869d324,06ff8f3cc431ea6679d40c6bf2a3d70c33b9b2e33b46393794ba2d35cd6779ff,xing4-2.0.1,216.txt,collection1/Collection  #1_OLD CLOUD_Monetary combos/216.txt,1687980115,2997974,100000,99998,100000,finished,unknown,"['username', 'email', 'password']",Collection#1
649c7b7368eea91ac182eb63,073f0ac3e302d114f8ee9c9a4cc45b95d0547ed2b005bcf3dd574f3b9f0e3927,xing2-2.0.1,230.txt,collection1/Collection  #1_OLD CLOUD_Japan combos/230.txt,1687976935,3169820,100000,99986,100000,finished,unknown,"['username', 'email', 'password']",Collection#1
649c0d39a3e1176796e8e389,07de6e667d2f6efd03b09e6ebdc6faf079c89ebb4e51c58c5b4c5525cf81ba30,xing1-2.0.1,glowing-hair.com {121.795} [HASH].txt,collection1/Collection  #1_NEW combo semi private_Update Dumps/glowing-hair.com {121.795} [HASH].txt,1687949041,7039031,121794,86303,120000,finished,unknown,"['cc', 'email', 'hash-md5', 'unknown', 'password', 'username']",Collection#1
649c88d868eea91ac1d9ea18,087660b056cad7c2c223a1d090b1528c16f694612c819c0354fd4602708d6039,xing2-2.0.1,212.txt,collection1/Collection  #1_RU combo/212.txt,1687980391,2981245,100000,99995,100000,finished,unknown,"['username', 'email', 'password']",Collection#1
649c456b8daf2c5b45bc092e,08805bd63bac1dff6238c1688de1a26cb7cc0056d940e2458c27f568304bf13a,xing4-2.0.1,142.txt,collection1/Collection  #1_OLD CLOUD_Japan combos/142.txt,1687963130,3520940,100000,99993,100000,finished,unknown,"['username', 'email', 'password', 'cc']",Collection#1
649c098f68eea91ac15d3aa7,08bb265492a67076262469d7466d4799123f1b00eaabe1821dcd68ecab8af327,xing2-2.0.1,237.txt,collection1/Collection  #1_OLD CLOUD_Shopping combos/237.txt,1687947798,3440680,100000,99968,100000,finished,unknown,"['unknown', 'password', 'username', 'cc', 'email']",Collection#1
649c566b68eea91ac11b15d8,09093381b46c8417cdafa96ed7ecd9a5658664180f3a977f303e4765f69b2c22,xing2-2.0.1,400.txt,collection1/Collection  #1_RU combo/400.txt,1687967500,3341359,100000,99975,100000,finished,unknown,"['password', 'email', 'username']",Collection#1
649c8b1680bfe06f08a8f82d,0aff28f357ac36b77d9e3ce6ee270b8760c0dadbbfd53e39751be229a19d443f,xing4-2.0.1,2085.txt,collection1/Collection  #1_EU combos/2085.txt,1687980973,2855560,100000,99999,100000,finished,unknown,"['email', 'password', 'username']",Collection#1
